2010-05-01,22,12,112,0,15,New York
2010-05-01,20,12,103,0,11,Australia
2010-05-01,18,9,48,0,15,Oregon
2010-05-01,19,10,67,0,15,Canada
2010-05-01,30,16,87,0,14,South Carolina
2010-05-01,20,4,66,37,15,Other Midwest
2010-05-01,24,15,7,0,14,Southwest
2010-05-01,31,20,90,0,14,Southeast
2010-05-01,20,4,66,37,15,Midwest
2010-05-01,24,15,7,0,14,Other Southwest
2010-05-01,32,18,8,0,14,Nevada
2010-05-01,20,12,88,1,15,Ohio
2010-05-01,19,12,91,0,15,Michigan
2010-05-01,30,19,117,0,14,Texas
2010-05-01,31,20,90,0,14,Florida
2010-06-01,32,23,195,0,14,Southeast
2010-06-01,27,18,110,0,15,Northeast
2010-06-01,32,23,195,0,14,Florida
2010-06-01,26,13,86,0,14,Mexico
2010-06-01,27,18,115,0,15,South Korea
2010-06-01,25,17,110,0,15,Michigan
2010-06-01,27,18,110,0,15,New York
2010-06-01,26,17,2,0,15,Southwest
2010-06-01,38,23,2,0,15,Nevada
2010-06-01,27,9,41,0,16,Midwest
2010-06-01,17,9,137,0,10,Australia
2010-06-01,26,17,2,0,15,California
2010-06-01,21,12,39,0,16,Oregon
2010-06-01,27,18,110,0,15,Other Northeast
2010-06-01,33,20,130,0,15,South Carolina
2010-06-01,30,18,92,0,15,Georgia
2010-06-01,25,17,110,0,15,Illinois
2010-06-01,32,23,195,0,14,Other Southeast
2010-06-01,40,24,1,0,15,Arizona
2010-06-01,28,10,26,0,15,New Mexico
2010-06-01,24,15,81,0,16,Canada
2010-06-01,34,23,123,0,14,Texas
2010-06-01,26,17,2,0,15,Other Southwest
2010-06-01,25,17,70,0,15,Ohio
2010-06-01,27,18,110,0,15,Connecticut
2010-06-01,26,19,168,0,15,Japan
2010-06-01,27,18,110,0,15,New Jersey
2010-06-01,27,9,41,0,16,Other Midwest
2010-07-01,32,12,31,0,15,Other Midwest
2010-07-01,29,21,116,0,15,Other Northeast
2010-07-01,28,21,93,0,15,Illinois
2010-07-01,32,12,31,0,15,Midwest
2010-07-01,28,21,93,0,15,Michigan
2010-07-01,27,20,79,0,15,Ohio
2010-07-01,29,22,314,0,15,South Korea
2010-07-01,30,13,53,0,15,New Mexico
2010-07-01,29,21,116,0,15,Northeast
2010-07-01,41,26,7,0,15,Nevada
2010-07-01,41,28,22,0,14,Arizona
2010-07-01,32,21,127,0,14,Georgia
2010-07-01,33,24,193,0,14,Southeast
2010-07-01,24,14,23,0,16,Oregon
2010-07-01,33,24,193,0,14,Other Southeast
2010-07-01,29,18,1,0,14,California
2010-07-01,29,21,116,0,15,New Jersey
2010-07-01,27,18,80,0,15,Canada
2010-07-01,29,21,116,0,15,Connecticut
2010-07-01,33,24,193,0,14,Florida
2010-07-01,29,18,1,0,14,Southwest
2010-07-01,35,22,135,0,14,South Carolina
2010-07-01,29,18,1,0,14,Other Southwest
2010-07-01,24,12,116,0,13,Mexico
2010-07-01,17,8,71,0,10,Australia
2010-07-01,29,21,116,0,15,New York
2010-07-01,36,25,48,0,14,Texas
2010-07-01,29,23,141,0,15,Japan
2010-08-01,33,24,198,0,13,Southeast
2010-08-01,29,20,113,0,14,Connecticut
2010-08-01,27,21,101,0,14,Illinois
2010-08-01,31,24,158,0,14,Japan
2010-08-01,34,22,124,0,14,South Carolina
2010-08-01,27,20,85,0,14,Ohio
2010-08-01,39,25,15,0,14,Nevada
2010-08-01,29,19,2,0,14,Southwest
2010-08-01,40,27,23,0,14,Arizona
2010-08-01,31,11,17,0,14,Midwest
2010-08-01,33,24,198,0,13,Florida
2010-08-01,27,21,101,0,14,Michigan
2010-08-01,29,19,2,0,14,California
2010-08-01,33,24,198,0,13,Other Southeast
2010-08-01,26,18,56,0,14,Canada
2010-08-01,29,19,2,0,14,Other Southwest
2010-08-01,31,20,96,0,14,Georgia
2010-08-01,36,25,68,0,14,Texas
2010-08-01,29,20,113,0,14,New Jersey
2010-08-01,25,12,97,0,13,Mexico
2010-08-01,30,22,295,0,14,South Korea
2010-08-01,29,20,113,0,14,New York
2010-08-01,28,12,54,0,14,New Mexico
2010-08-01,29,20,113,0,14,Other Northeast
2010-08-01,29,20,113,0,14,Northeast
2010-08-01,24,14,30,0,15,Oregon
2010-08-01,31,11,17,0,14,Other Midwest
2010-08-01,18,9,85,0,11,Australia
2010-09-01,28,17,94,0,13,Georgia
2010-09-01,29,18,7,0,13,Southwest
2010-09-01,25,5,23,6,13,Midwest
2010-09-01,20,11,66,0,12,Australia
2010-09-01,32,23,161,0,13,Florida
2010-09-01,25,8,39,0,13,New Mexico
2010-09-01,23,17,85,0,13,Michigan
2010-09-01,31,19,97,0,13,South Carolina
2010-09-01,29,18,7,0,13,California
2010-09-01,25,16,111,0,13,Other Northeast
2010-09-01,25,5,23,6,13,Other Midwest
2010-09-01,23,16,83,0,13,Ohio
2010-09-01,24,12,97,0,13,Mexico
2010-09-01,27,21,209,0,13,Japan
2010-09-01,32,23,161,0,13,Other Southeast
2010-09-01,29,18,7,0,13,Other Southwest
2010-09-01,26,17,151,0,13,South Korea
2010-09-01,32,21,104,0,13,Texas
2010-09-01,35,21,5,0,13,Nevada
2010-09-01,23,14,67,0,13,Canada
2010-09-01,23,17,85,0,13,Illinois
2010-09-01,25,16,111,0,13,Northeast
2010-09-01,21,12,48,0,13,Oregon
2010-09-01,25,16,111,0,13,Connecticut
2010-09-01,25,16,111,0,13,New Jersey
2010-09-01,32,23,161,0,13,Southeast
2010-09-01,38,24,17,0,13,Arizona
2010-09-01,25,16,111,0,13,New York
2010-10-01,16,8,81,0,11,Oregon
2010-10-01,28,14,9,0,12,Nevada
2010-10-01,26,12,74,0,12,South Carolina
2010-10-01,18,10,106,2,11,New Jersey
2010-10-01,32,18,19,0,12,Arizona
2010-10-01,17,10,72,2,11,Michigan
2010-10-01,17,0,28,96,11,Midwest
2010-10-01,29,20,76,0,12,Southeast
2010-10-01,27,15,109,0,12,Texas
2010-10-01,18,10,106,2,11,Northeast
2010-10-01,18,10,106,2,11,Other Northeast
2010-10-01,18,10,106,2,11,New York
2010-10-01,18,10,106,2,11,Connecticut
2010-10-01,29,20,76,0,12,Other Southeast
2010-10-01,29,20,76,0,12,Florida
