2010-01-01,2,Midwest
2010-01-01,0,Illinois
2010-01-01,0,Canada
2010-01-01,4,Northeast
2010-01-01,14,South Carolina
2010-01-01,8,Oregon
2010-01-01,4,Connecticut
2010-01-01,22,Other Southeast
2010-01-01,5,New Mexico
2010-01-01,12,Georgia
2010-01-01,26,Australia
2010-01-01,20,Arizona
2010-01-01,4,Other Northeast
2010-01-01,4,New York
2010-01-01,2,Other Midwest
2010-01-01,22,Mexico
2010-01-01,1,Ohio
2010-01-01,1,South Korea
2010-01-01,20,Other Southwest
2010-01-01,10,Japan
2010-01-01,20,California
2010-01-01,15,Texas
2010-01-01,4,New Jersey
2010-01-01,22,Southeast
2010-01-01,22,Florida
2010-01-01,0,Michigan
2010-01-01,15,Nevada
2010-01-01,20,Southwest
2010-02-01,21,California
2010-02-01,5,New Jersey
2010-02-01,26,Australia
2010-02-01,24,Mexico
2010-02-01,23,Other Southeast
2010-02-01,17,Texas
2010-02-01,10,Japan
2010-02-01,23,Florida
2010-02-01,5,Connecticut
2010-02-01,0,Canada
2010-02-01,21,Other Southwest
2010-02-01,4,Other Midwest
2010-02-01,21,Southwest
2010-02-01,17,South Carolina
2010-02-01,5,New York
2010-02-01,18,Nevada
2010-02-01,2,Michigan
2010-02-01,5,Northeast
2010-02-01,4,South Korea
2010-02-01,14,Georgia
2010-02-01,10,Oregon
2010-02-01,2,Illinois
2010-02-01,22,Arizona
2010-02-01,3,Ohio
2010-02-01,8,New Mexico
2010-02-01,5,Other Northeast
2010-02-01,23,Southeast
2010-02-01,4,Midwest
2010-03-01,26,Southeast
2010-03-01,23,Nevada
2010-03-01,13,Japan
2010-03-01,7,Michigan
2010-03-01,21,Other Southwest
2010-03-01,26,Other Southeast
2010-03-01,7,Illinois
2010-03-01,21,Southwest
2010-03-01,10,New Jersey
2010-03-01,22,South Carolina
2010-03-01,8,Ohio
2010-03-01,21,California
2010-03-01,26,Florida
2010-03-01,5,Canada
2010-03-01,10,Other Midwest
2010-03-01,10,South Korea
2010-03-01,21,Texas
2010-03-01,10,Other Northeast
2010-03-01,10,New York
2010-03-01,10,Midwest
2010-03-01,25,Arizona
2010-03-01,25,Australia
2010-03-01,26,Mexico
2010-03-01,19,Georgia
2010-03-01,13,New Mexico
2010-03-01,10,Northeast
