area_id,num_businesses,retail_trade,accommodation_and_food_services,health_care_and_social_assistance,education_and_training,arts_and_recreation_services
119011356,2202.0,174.0,52.0,51.0,17.0,9.0
119011357,2495.0,183.0,77.0,122.0,20.0,9.0
119011358,1495.0,95.0,45.0,66.0,20.0,14.0
119011359,1674.0,82.0,57.0,91.0,18.0,25.0
119011360,1051.0,75.0,30.0,68.0,14.0,14.0
119011361,1419.0,115.0,40.0,63.0,19.0,5.0
119011571,1819.0,118.0,57.0,167.0,30.0,4.0
119011572,1991.0,159.0,76.0,103.0,21.0,10.0
119021362,1756.0,126.0,74.0,63.0,14.0,22.0
119021363,3094.0,229.0,131.0,170.0,29.0,13.0
119021364,2677.0,152.0,90.0,117.0,33.0,36.0
119021366,2171.0,140.0,63.0,73.0,16.0,7.0
119021367,1167.0,86.0,45.0,28.0,10.0,13.0
119021573,1742.0,99.0,49.0,82.0,22.0,3.0
119021574,910.0,53.0,11.0,32.0,7.0,0.0
119031368,2992.0,264.0,170.0,201.0,39.0,13.0
119031369,1719.0,101.0,87.0,123.0,21.0,11.0
119031370,1049.0,75.0,62.0,65.0,15.0,10.0
119031371,1139.0,72.0,34.0,88.0,21.0,14.0
119031372,2180.0,118.0,49.0,74.0,21.0,20.0
119031373,640.0,45.0,48.0,37.0,14.0,3.0
119031374,2626.0,128.0,98.0,208.0,25.0,20.0
119041375,1806.0,119.0,78.0,68.0,23.0,16.0
119041376,2132.0,131.0,66.0,107.0,23.0,19.0
119041377,1211.0,84.0,67.0,84.0,17.0,17.0
119041378,1460.0,80.0,67.0,233.0,15.0,15.0
119041379,1517.0,71.0,60.0,75.0,25.0,21.0
119041380,1363.0,74.0,64.0,73.0,22.0,13.0
119041381,2093.0,177.0,108.0,84.0,21.0,22.0
119041382,1642.0,99.0,93.0,91.0,28.0,26.0
