area_id,num_businesses,retail_trade,accommodation_and_food_services,health_care_and_social_assistance,education_and_training,arts_and_recreation_services,retail_trade_z,accommodation_and_food_services_z,health_care_and_social_assistance_z,education_and_training_z,arts_and_recreation_services_z
127021509,852,66,31,40,3,3,1.150982606,-0.060183877,-0.385860492,-1.749236829,-1.032480842
127021510,1364,64,35,66,26,11,-0.628249117,-0.24823168,-0.337970881,0.678079033,-0.552109474
127021511,1872,262,118,153,15,8,4.791262661,0.407065954,0.771899938,-1.047664177,-0.952932165
127021512,926,62,41,54,8,4,0.538750959,0.078180191,-0.007501535,-0.949810871,-0.948052721
127021513,1045,88,62,63,14,9,1.543931893,0.342121662,0.058129627,-0.20667102,-0.494177607
127021514,721,41,34,28,3,7,-0.048958783,0.128680941,-0.655921681,-1.649310437,-0.378266341
127021515,1364,142,64,111,12,5,2.702848003,0.124544725,0.760167688,-0.92507842,-1.017196298
127021516,959,63,40,73,14,3,0.46528342,0.03318361,0.585172926,-0.019018629,-1.074018689
127021517,493,28,27,21,5,0,-0.053055772,0.262109831,-0.530720558,-0.715102422,-1.404768652
127021518,963,49,21,17,8,5,-0.397466182,-0.315787143,-1.36097432,-1.001657073,-0.855808434
127021519,1393,89,44,54,16,12,0.360282327,-0.144317154,-0.658241589,-0.505176447,-0.49395971
127021520,624,40,26,24,3,3,0.372613068,0.032421821,-0.668351032,-1.548283858,-0.896452604
127021521,1693,97,20,6,8,12,-0.023952673,-0.491006709,-1.830609082,-1.561146798,-0.65535527
127031522,1092,85,31,65,10,16,1.172770942,-0.200392748,0.032723514,-0.868871434,0.144385018
127031523,2431,170,70,75,19,16,0.712073984,-0.19326621,-0.921657203,-1.078450949,-0.708892137
127031524,1148,57,45,69,22,9,-0.469179037,-0.010851535,0.052053247,0.694038789,-0.575876978
127031598,2589,206,107,266,29,9,1.273462883,0.026496105,1.471287935,-0.549654912,-1.037226109
127031599,462,36,5,17,13,3,1.177620384,-0.508379419,-0.723771944,2.095837325,-0.718211912
127031600,1668,106,48,68,21,14,0.340376492,-0.193577536,-0.591599048,-0.332750461,-0.517348789
127031601,330,29,3,9,0,22,1.757613606,-0.53874019,-1.040779565,-2.299213379,5.643880547
128011529,1421,60,41,73,24,26,-0.901858422,-0.192246018,-0.2386069,0.338816297,0.529765611
128011530,2217,154,78,209,26,25,0.684880363,-0.08126417,1.189329465,-0.467446645,-0.212507285
128011531,2301,145,96,90,17,30,0.309323745,0.033374306,-0.646652335,-1.14524259,-0.026284454
128011602,2052,136,82,91,22,19,0.499265737,0.002516017,-0.472449449,-0.624625909,-0.425789596
128011603,1157,56,23,67,19,11,-0.542024322,-0.349588911,-0.021047225,0.265759367,-0.399559388
128011604,2485,119,130,109,42,42,-0.571948884,0.219103148,-0.488553101,0.340674064,0.382212835
128011605,442,9,14,22,5,4,-2.175340632,-0.142779407,-0.29181483,-0.532320388,-0.447938444
128011606,924,45,23,56,17,15,-0.524533639,-0.261698152,0.068747108,0.574473619,0.311623199
128021533,377,23,8,12,13,3,0.192347616,-0.326073859,-0.889079149,3.086763876,-0.563417952
128021534,1138,51,26,76,12,10,-0.750889212,-0.29754814,0.274379148,-0.652183428,-0.475684838
128021535,1595,77,46,92,39,21,-0.549315958,-0.192470358,-0.028640814,1.519934129,-0.012715675
128021536,1591,90,49,84,24,24,-0.066275118,-0.158138057,-0.191184288,0.05694009,0.190148829
128021537,3,0,3,0,0,0,-3.36145701,16.8352112,-1.948574115,-2.299213379,-1.404768652
128021538,2086,107,79,134,36,27,-0.373484923,-0.034119719,0.189631649,0.396357212,-0.036262935
128021607,1121,75,38,76,28,11,0.535832902,-0.103783547,0.308090304,1.602136782,-0.367277913
128021608,417,17,6,17,7,7,-0.986695896,-0.445855888,-0.591599048,0.322737179,0.370071075
128021609,259,10,5,10,0,7,-1.112364608,-0.359652667,-0.663408085,-2.299213379,1.452791834
