area_id,num_businesses,retail_trade,accommodation_and_food_services,health_care_and_social_assistance,education_and_training,arts_and_recreation_services,retail_trade_z,accommodation_and_food_services_z,health_care_and_social_assistance_z,education_and_training_z,arts_and_recreation_services_z
116031316,435,36,13,17,8,4,1.459356222,-0.174149203,-0.647749741,0.573307823,-0.432541176
116031317,1136,95,45,76,13,4,1.509926666,-0.003591506,0.278292798,-0.51178959,-1.032480842
116031318,500,15,5,0,3,3,-1.613912214,-0.522800785,-1.948574115,-1.362053337,-0.770390224
116031319,1194,81,52,48,14,6,0.590277455,0.065462044,-0.610451495,-0.467800678,-0.873463436
117011320,409,23,5,0,0,3,-0.085700668,-0.483790163,-1.948574115,-2.299213379,-0.629244901
117011321,1304,50,53,40,13,18,-1.127887485,0.014494064,-0.9275373,-0.742071182,0.054690922
117011322,2580,166,124,81,31,22,0.386507282,0.144553681,-0.903554807,-0.422471692,-0.503197243
117011323,911,62,45,54,17,18,0.602969532,0.167947588,0.024459046,0.615481227,0.68429313
117011324,135,5,3,0,3,0,-1.203994298,-0.308504341,-1.948574115,1.171749741,-1.404768652
117011325,9,0,0,0,0,0,-3.36145701,-0.698134239,-1.948574115,-2.299213379,-1.404768652
117021326,3109,238,145,155,30,88,1.097808151,0.119599787,-0.289101929,-0.792040587,1.58790325
117021327,1917,117,112,152,34,73,0.193798445,0.326244837,0.69067556,0.471038876,2.621455069
117021328,1087,78,43,26,23,31,0.818502945,-0.004542838,-1.152409622,1.005705507,1.610522864
117031329,2260,150,197,252,43,84,0.50479254,0.830214898,1.762939887,0.672606814,2.52500922
117031330,3218,249,133,113,46,115,1.145883516,0.026519254,-0.779743966,-0.066493162,2.373640257
117031331,1830,114,115,174,49,63,0.267324535,0.403688015,1.216305246,1.883012675,2.235107574
117031332,2316,170,180,323,52,119,0.914343442,0.664561002,2.693616497,1.20771827,4.027804241
117031333,2874,139,224,162,40,109,-0.544144012,0.668417388,-0.072339032,-0.125332511,2.60516226
117031334,3933,214,219,162,67,55,-0.191912248,0.278169511,-0.577534291,0.361593589,0.073780951
117031335,2350,124,129,123,59,90,-0.287761198,0.26433451,-0.20638117,1.622236444,2.644455356
117031336,4302,227,279,203,105,124,-0.287749674,0.438965569,-0.377905255,1.513036909,1.642764475
117031337,40285,1558,1647,1057,608,256,-1.108612864,0.018693859,-1.075219497,0.058129328,-0.732885496
117031338,3597,294,219,154,31,71,1.399715914,0.369367193,-0.523493985,-0.953093404,0.682195873
118011339,2183,109,94,167,40,96,-0.452884971,0.056851776,0.597797222,0.562780948,3.244821291
118011340,2575,173,136,145,59,111,0.552138457,0.227898762,-0.074228086,1.279585488,3.152901607
118011341,3685,216,177,433,70,80,0.053013149,0.144037305,1.962620315,0.667824295,0.890585226
118011342,0,0,0,0,0,0,0,0,0,0,0
118011343,5016,271,164,540,61,93,-0.21429699,-0.124874939,1.634825425,-0.399732964,0.555531514
118011344,1545,80,45,134,28,31,-0.345198461,-0.187454275,0.938349654,0.53147499,0.716669457
118011345,2463,189,97,183,42,100,1.10851141,-0.007620838,0.524548675,0.364254057,2.88795315
118011346,1950,104,64,170,30,44,-0.254710705,-0.122680851,0.953264875,0.103761088,0.980928
118011347,1384,88,34,152,22,36,0.34239516,-0.267401765,1.7070918,0.183628737,1.345426845
118021348,2567,111,97,244,64,91,-0.842596181,-0.035596449,1.215327421,1.594971968,2.343344381
118021350,1800,67,77,101,31,31,-1.193206985,0.051903315,-0.080870883,0.390783039,0.416132391
118021564,975,49,57,104,25,29,-0.433946069,0.326892109,1.601911237,1.705744067,1.740013298
118021565,1170,78,89,124,22,25,0.521975871,0.635598875,1.579151715,0.637755415,0.854413784
118021566,1165,53,27,130,11,19,-0.711389078,-0.291782028,1.765721183,-0.824426474,0.319579006
118021567,945,52,42,79,15,26,-0.156083838,0.081125558,0.834048333,0.180045992,1.504197684
118021568,882,41,64,69,18,14,-0.653621157,0.574126654,0.655417055,0.888405813,0.273481157
118021569,1638,64,49,143,32,38,-1.085452391,-0.173632453,0.957329075,0.75218277,1.048057992
118021570,1402,72,86,269,31,32,-0.369939527,0.377377678,4.437931054,1.154419682,1.008463599
119011354,1472,108,75,68,18,11,0.912429721,0.195208769,-0.410914868,-0.389240467,-0.614668708
119011355,465,58,10,4,3,0,3.904320639,-0.321073047,-1.662244651,-1.291514409,-1.404768652
119011356,2202,174,52,51,17,9,1.241522018,-0.284086118,-1.177649588,-1.093361069,-0.972630758
119011357,2495,183,77,122,20,9,0.911097403,-0.157024981,-0.320971862,-1.047162555,-1.023378815
119011358,1495,95,45,66,20,14,0.340142894,-0.170374678,-0.479100663,-0.209670364,-0.414657393
119011359,1674,82,57,91,18,25,-0.508038585,-0.101120685,-0.139130975,-0.619715096,0.174229825
119011360,1051,75,30,68,14,14,0.795405018,-0.197658156,0.205026657,-0.218617028,0.003619866
119011361,1419,115,40,63,19,5,1.359418057,-0.203889125,-0.470769033,-0.207829681,-1.032218483
119011571,1819,118,57,167,30,4,0.41736443,-0.1487111,1.107351465,0.276817523,-1.172267853
119011572,1991,159,76,103,21,10,1.290470374,-0.028855358,-0.226606552,-0.651769809,-0.873730289
119021362,1756,126,74,63,14,22,0.818319838,0.040742505,-0.75437969,-1.053936178,-0.080136399
119021363,3094,229,131,170,29,13,0.949981887,0.044227833,-0.119683996,-0.83521633,-0.960526055
119021364,2677,152,90,117,33,36,-0.053938531,-0.108668012,-0.493796894,-0.373781839,0.017073174
119021366,2171,140,63,73,16,7,0.394972769,-0.189336099,-0.829337168,-1.148087886,-1.063862081
119021367,1167,86,45,28,10,13,0.931283707,-0.022041228,-1.149943091,-0.960795724,-0.226973798
119021573,1742,99,49,82,22,3,-0.05095309,-0.204945992,-0.381733923,-0.326622398,-1.222685291
119021574,910,53,11,32,7,0,0.031212375,-0.486192701,-0.778084439,-1.097726146,-1.404768652
119031368,2992,264,170,201,39,13,1.778380627,0.29807857,0.287537461,-0.263270774,-0.945381421
119031369,1719,101,87,123,21,11,0.061114727,0.189242755,0.433132355,-0.391092292,-0.728196739
119031370,1049,75,62,65,15,10,0.803330398,0.338155005,0.113939718,-0.06575284,-0.396858852
119031371,1139,72,34,88,21,14,0.32081473,-0.174750793,0.623111939,0.580558481,-0.105193295
119031372,2180,118,49,74,21,20,-0.208394533,-0.304036108,-0.818689155,-0.794598632,-0.434771056
119031373,640,45,48,37,14,3,0.734351107,0.616866668,-0.024238793,1.117515942,-0.909160505
119031374,2626,128,98,208,25,20,-0.522084911,-0.043805278,0.687924909,-0.812224229,-0.599515506
119041375,1806,119,78,68,23,16,0.476819675,0.059119883,-0.695288173,-0.310040163,-0.468071084
119041376,2132,131,66,107,23,19,0.217785772,-0.155357129,-0.278039116,-0.614200795,-0.46252427
119041377,1211,84,67,84,17,17,0.679108994,0.271918729,0.360267516,-0.106573588,0.079463838
119041378,1460,80,67,233,15,15,-0.169594368,0.106478188,3.363474817,-0.694487279,-0.31850422
119041379,1517,71,60,75,25,21,-0.635118171,-0.004659799,-0.302934687,0.274836397,0.05885989
119041380,1363,74,64,73,22,13,-0.198866769,0.125148305,-0.165842338,0.221882357,-0.396341217
119041381,2093,177,108,84,21,22,1.564732335,0.206596438,-0.612689158,-0.732056118,-0.29341928
119041382,1642,99,93,91,28,26,0.150661034,0.294923693,-0.103867772,0.364254057,0.269392851
120011383,2597,131,113,226,49,29,-0.423087502,0.064772204,0.948072338,0.647830779,-0.224113126
120011384,2809,159,196,178,40,25,-0.064202677,0.525267578,0.160672033,-0.075029109,-0.463777748
120011385,2357,149,104,217,31,36,0.320966617,0.075505101,1.115922549,-0.244909793,0.210110673
120011386,2635,166,106,225,41,36,0.308276529,0.007191991,0.893666887,0.131119431,0.039736307
120021387,2372,99,103,232,37,80,-0.930218465,0.06322098,1.307035346,0.137192015,2.16115843
120021388,3345,218,169,300,59,144,0.434903385,0.187705934,1.036699443,0.455766317,3.146825449
120021389,1803,99,73,131,42,50,-0.162955718,0.011757173,0.469861727,1.339233818,1.527281764
120031390,1947,135,118,134,41,21,0.677552535,0.364492757,0.342282189,0.989911919,-0.26438627
120031391,3477,261,188,309,63,23,1.011174491,0.249886739,1.009525469,0.530864402,-0.70537723
120031392,869,37,34,48,11,22,-0.881243835,-0.012134533,-0.110002874,-0.322082488,1.271933576
120031393,1560,99,76,70,16,10,0.335272367,0.156054385,-0.454980518,-0.697230401,-0.727013921
120031394,1149,74,51,76,24,28,0.390162223,0.080108247,0.253097611,0.963310702,1.171761081
