name,GPS_lng,GPS_lat,area_id
Martin_Place_railway_station,151.211807,-33.867924,117031337
Mascot_railway_station,151.1872054,-33.9231718,117011322
Meadowbank_railway_station,151.0901809,-33.815991600000004,126021503
Merrylands_railway_station,150.9925461,-33.836496999999994,125031485
Milsons_Point_railway_station,151.2118196,-33.8458845,121041417
Minto_railway_station,150.8423981,-34.0275182,123021443
Miranda_railway_station,151.10257190000002,-34.0363093,128011530
Mortdale_railway_station,151.0812595,-33.970633299999996,119031371
Mount_Colah_railway_station,151.11493430000002,-33.671462700000006,121021403
Mount_Druitt_railway_station,150.8200632,-33.7695793,116031317
Mount_Kuring-gai_railway_station,151.1368521,-33.6531594,121021403
Mulgrave_railway_station,150.83049309999998,-33.6266322,115041301
Museum_railway_station,151.20930330000002,-33.8765641,117031337
Narwee_railway_station,151.07017280000002,-33.9475524,119031370
Newtown_railway_station,151.17954540000002,-33.897994,117031332
Normanhurst_railway_station,151.09716630000003,-33.7208725,121021406
North_Strathfield_railway_station,151.08811619999997,-33.8589285,120011384
North_Sydney_railway_station,151.2072142,-33.841075200000006,121041417
North_Ryde_railway_station,151.1379155,-33.7945573,126021501
Oatley_railway_station,151.07905209999998,-33.980752200000005,119031371
Olympic_Park_railway_station,151.0695205,-33.846520700000006,125011473
Padstow_railway_station,151.03239430000002,-33.9518948,119011358
Panania_railway_station,150.99784499999998,-33.9543247,119011359
Parramatta_railway_station,151.0049753,-33.81748579999999,125041492
Pendle_Hill_railway_station,150.95640319999998,-33.8013341,125041493
Pennant_Hills_railway_station,151.0725318,-33.737919,126011496
Penrith_railway_station,150.69646609999998,-33.750077600000004,124031464
Penshurst_railway_station,151.0890189,-33.9661685,119031369
Petersham_railway_station,151.1551268,-33.8939191,117021327
Punchbowl_railway_station,151.0555281,-33.92534929999999,119021366
Pymble_railway_station,151.1419637,-33.7446757,121031409
Quakers_Hill_railway_station,150.886186,-33.72741729999999,116021563
Redfern_railway_station,151.19896310000001,-33.8922244,117031335
Regents_Park_railway_station,151.0241566,-33.8829845,125011587
Revesby_railway_station,151.0152506,-33.9526546,119011360
Rhodes_railway_station,151.0870825,-33.8305508,120011384
Richmond_railway_station,150.75252969999997,-33.5988159,124041466
Riverstone_railway_station,150.8653362,-33.6861941,116021312
Riverwood_railway_station,151.05248989999998,-33.9514785,119031373
Rockdale_railway_station,151.13671369999997,-33.952262299999994,119041381
Rooty_Hill_railway_station,150.8451808,-33.771551200000005,116031319
Rosehill_railway_station,151.022064,-33.823345,125041492
Roseville_railway_station,151.1772549,-33.7841736,121031408
Rydalmere_railway_station,151.0292007,-33.8100864,125021477
Schofields_railway_station,150.8738722,-33.7046481,116021312
Sefton_railway_station,151.0114608,-33.885234600000004,125031479
Seven_Hills_railway_station,150.9361383,-33.77429970000001,116011307
St_James_railway_station,151.21056130000002,-33.870735700000004,117031337
St_Leonards_railway_station,151.19418180000002,-33.822302799999996,121011401
St_Marys_railway_station,150.77514730000001,-33.7620945,124051581
St_Peters_railway_station,151.180336,-33.9074933,117021328
Stanmore_railway_station,151.16391069999997,-33.8946689,117021327
Strathfield_railway_station,151.09404630000003,-33.8715351,120031575
Summer_Hill_railway_station,151.1394088,-33.8904626,120031395
Sutherland_railway_station,151.0573477,-34.03151810000001,128021538
Sydenham_railway_station,151.16600569999997,-33.9147823,117021328
Telopea_railway_station,151.0414234,-33.7938644,125021478
Tempe_railway_station,151.15641369999997,-33.9245245,117021326
Thornleigh_railway_station,151.0783945,-33.731807,121021406
Toongabbie_railway_station,150.9515163,-33.7871881,125041493
Town_Hall_railway_station,151.20708380000002,-33.8735656,117031337
Turramurra_railway_station,151.12837180000002,-33.732324,121031411
Turrella_railway_station,151.13996799999998,-33.9299019,119041375
Villawood_railway_station,150.976053,-33.880887,125031480
Vineyard_railway_station,150.8511339,-33.6504049,116021312
Wahroonga_railway_station,151.11695519999998,-33.7174876,121031412
Waitara_railway_station,151.1044132,-33.7100629,121021579
Warrawee_railway_station,151.1216915,-33.7241877,121031412
Warwick_Farm_railway_station,150.9350804,-33.912884999999996,127031601
Waterfall_railway_station,150.9944864,-34.1344494,128021533
Waverton_railway_station,151.1974391,-33.8378723,121041414
Wentworthville_railway_station,150.9727022,-33.8070931,125041493
Werrington_railway_station,150.75741090000002,-33.7591415,124031462
West_Ryde_railway_station,151.09017849999998,-33.807334600000004,126021503
Westmead_railway_station,150.9878994,-33.808437100000006,125041491
Wiley_Park_railway_station,151.0680948,-33.922717299999995,119021574
Windsor_railway_station,150.81105269999998,-33.613617299999994,124041467
Wolli_Creek_railway_station,151.1540101,-33.9285672,119041375
Wollstonecraft_railway_station,151.1918461,-33.8319307,121041414
Woolooware_railway_station,151.1437977,-34.0475652,128011606
Wynyard_railway_station,151.2055521,-33.866007700000004,117031337
Yagoona_railway_station,151.0244561,-33.906962299999996,119011361
Yennora_railway_station,150.9707794,-33.864742799999995,125031487
Helensburgh_railway_station,150.99410769999997,-34.177006799999994,0
