area_id,area_name,land_area,population,number_of_dwellings,population_density,dwelling_density,transport_density,ZP,ZD,ZT,retail_trade_z,accommodation_and_food_services_z,health_care_and_social_assistance_z,education_and_training_z,arts_and_recreation_services_z,carpods_num,busstops_num,librarybookstore_num,parksplaygrounds_num,trainstation_num
102021049,Jilliby - Yarramalong,34676.6,3520,973,0.101509375,0.028059268,0.0,-1.645555114,-1.55968256,-0.740649427,-0.97165216,-0.42839046299999994,-0.668351032,-0.6972304009999999,-0.320361083,0.0,119.0,0.0,0.0,0.0
102021050,Lake Munmorah - Mannering Park,3549.5,11093,4252,3.125228905,1.197915199,0.0,-0.6815096829999999,-0.08994974900000001,-0.740649427,0.210568518,0.128910357,-0.6925061840000001,-0.08893026,-0.6566808829999999,0.0,105.0,0.0,0.0,0.0
102021051,Ourimbah - Fountaindale,11411.7,4996,1317,0.43779629700000006,0.115407871,0.0,-1.457659821,-1.405492842,-0.740649427,0.7519741740000001,-0.298741405,0.629369406,-0.16445246300000002,1.2444958529999999,0.0,57.0,0.0,0.0,0.0
102021052,Summerland Point - Gwandalan,917.9,5904,2143,6.4320732110000005,2.33467698,0.0,-1.342071117,-1.035258227,-0.740649427,-0.519920755,-0.026124484,-0.788790137,0.421924955,-1.4047686519999998,0.0,30.0,0.0,0.0,0.0
102021053,The Entrance,1385.8,15416,4428,11.12426036,3.195266272,0.0,-0.13119033900000002,-0.011061986000000001,-0.740649427,1.531668421,0.68700005,-0.151140906,-0.581086635,0.49836663200000003,0.0,100.0,0.0,0.0,0.0
102021054,Toukley - Norah Head,1052.2,10092,3208,9.591332446000001,3.0488500289999996,0.0,-0.808937318,-0.557897616,-0.740649427,1.294699761,0.613884807,0.315766033,0.62277088,0.033731185,0.0,88.0,0.0,0.0,0.0
102021055,Tuggerah - Kangy Angy,2784.6,5480,1420,1.9679666740000001,0.5099475689999999,0.0,-1.3960464590000001,-1.359325572,-0.740649427,0.7095620429999999,0.040680932999999996,-0.6486148070000001,0.269227984,-0.535459398,0.0,78.0,0.0,0.0,0.0
102021056,Warnervale - Wadalba,4289.0,16365,4387,3.8155747260000004,1.022849149,0.0,-0.010382321,-0.029439249,-0.740649427,-0.024131878,-0.058897687000000004,0.17512928100000003,2.1750750180000002,-0.165748285,0.0,151.0,0.0,0.0,0.0
102021057,Wyong,1503.3,9114,2805,6.062662143,1.865895031,0.0,-0.933437045,-0.7385326640000001,-0.740649427,-0.290835662,0.8785076759999999,-0.5036091460000001,0.606709233,0.562296241,0.0,100.0,0.0,0.0,0.0
115011290,Baulkham Hills (East),830.8,24370,6258,29.33317285,7.5324987960000005,0.0,1.008656854,0.8091914590000001,-0.740649427,0.015890203000000002,-0.166538128,0.477040047,0.525559798,0.169929573,0.0,138.0,0.0,0.0,0.0
115011291,Baulkham Hills (West) - Bella Vista,1096.3,21416,5244,19.53479887,4.783362218,0.0,0.632611666,0.35469037,-0.740649427,-0.731789687,-0.176710402,1.0353262429999999,0.17368075600000002,-0.499935635,0.0,146.0,0.0,0.0,0.0
115011294,Glenhaven,723.1,6467,1687,8.943437975,2.333010649,0.0,-1.270401029,-1.239649249,-0.740649427,-1.145367594,-0.43608695700000005,0.719716932,-1.0258981040000001,-0.11187783400000001,0.0,70.0,0.0,0.0,0.0
115011296,West Pennant Hills,782.9,13244,3543,16.91659216,4.525482182,0.0,-0.407686664,-0.407741931,-0.740649427,-0.9972912840000001,-0.394829528,1.019022175,0.298812908,-0.771656448,0.0,110.0,0.0,0.0,0.0
